Altium Designer Pick and Place Locations
C:\Users\blinkinlabs\Desktop\compute_fpga\pcb\Project Outputs for compute_fpga\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       05/01/21
Time:       23:02
Revision:   ec2147ffef304f88b545b39512a31c8649727b1b
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"P2","HDR2X30","100.3300","85.0900","63.5000","83.8200","63.5000","83.8200","TopLayer","360","Header 30X2"
"R5","ERJ2G(0402)_N","9.5000","83.5000","9.5000","83.5000","9.0500","83.5000","TopLayer","360","5.1k"
"J3","TYPE-C-31-M-12","4.5500","82.0000","2.0000","82.0000","7.0920","78.7750","TopLayer","270","TYPE-C-31-M-12"
"J7","1757242","26.9250","80.7000","26.9250","80.7000","29.4650","80.7000","TopLayer","90","1757242"
"R6","ERJ2G(0402)_N","9.5000","80.5000","9.5000","80.5000","9.0500","80.5000","TopLayer","360","5.1k"
"J6","HDR1X6","37.5000","80.2300","37.5000","86.5800","37.5000","86.5800","TopLayer","270","FTDI"
"J4","TFP09-2-12B","49.5750","78.2000","49.5750","83.4500","47.3750","72.9500","TopLayer","180","TFP09-2-12B"
"U3","NXP-SOT353-1_L","30.5000","75.5000","30.5000","75.5000","31.1500","76.4500","TopLayer","270","74LVC1G17GW"
"R28","ERJ2G(0402)_L","117.7500","74.9250","117.7500","74.9250","117.3500","74.9250","TopLayer","360","4.7k"
"R10","ERJ2G(0402)_L","28.0000","74.5000","28.0000","74.5000","28.4000","74.5000","TopLayer","180","1k"
"D2","BL-Hxx37A-AV-TRB","26.0000","74.5000","26.0000","74.5000","25.4750","74.5000","TopLayer","360","BL-HUB37A-AV-TRB"
"P7","HDR2X4","126.4800","74.2300","122.6700","72.9600","122.6700","72.9600","TopLayer","360","Header 4X2"
"U14","FP-002-15548-MFG","111.8500","74.1750","111.8500","74.1750","115.5000","72.2700","TopLayer","180","S25FL064LABMFI013"
"R30","ERJ2G(0402)_L","106.0000","73.5000","106.0000","73.5000","106.4000","73.5000","TopLayer","180","4.7k"
"R9","ERJ2G(0402)_L","28.0000","73.0000","28.0000","73.0000","28.4000","73.0000","TopLayer","180","1k"
"D1","BL-Hxx37A-AV-TRB","26.0000","73.0000","26.0000","73.0000","25.4750","73.0000","TopLayer","360","BL-HGE37A-AV-TRB"
"R29","ERJ2G(0402)_L","117.7500","72.4250","117.7500","72.4250","117.3500","72.4250","TopLayer","360","4.7k"
"C82","CAPC1005X06L","106.0000","72.2500","106.0000","72.2500","105.6100","72.2500","TopLayer","360","0.10uF"
"P6","HDR2X3","71.7700","72.0000","70.5000","74.5400","70.5000","74.5400","TopLayer","270","Header 3X2"
"C46","CAPC1608X09L","51.7750","70.9250","51.7750","70.9250","51.1250","70.9250","TopLayer","0","47uF"
"R1","ERJ2G(0402)_L","13.8741","70.2575","13.8741","70.2575","13.8741","70.6575","TopLayer","270","20k"
"U11","SOT95P280X145-6N-5","16.5154","68.9301","16.5154","68.9301","17.8404","67.9801","TopLayer","180","AP22653W6-7"
"U6","FP-DCK0006A-MFG","57.3750","68.7500","57.3750","68.7500","56.7250","67.6500","TopLayer","90","TPS22919DCKR"
"R32","ERJ2G(0402)_L","77.7500","68.5000","77.7500","68.5000","77.7500","68.9000","TopLayer","270","330"
"R31","ERJ2G(0402)_L","78.7500","68.5000","78.7500","68.5000","78.7500","68.1000","TopLayer","90","330"
"R16","ERJ2G(0402)_L","79.7500","68.5000","79.7500","68.5000","79.7500","68.1000","TopLayer","90","330"
"R15","ERJ2G(0402)_L","76.7500","68.5000","76.7500","68.5000","76.7500","68.1000","TopLayer","90","4.7k"
"R14","ERJ2G(0402)_L","75.7500","68.5000","75.7500","68.5000","75.7500","68.1000","TopLayer","90","4.7k"
"P5","HDR2X4","118.0200","66.9800","121.8300","68.2500","121.8300","68.2500","TopLayer","180","Header 4X2"
"C52","CAPC1005X06L","106.1750","66.6500","106.1750","66.6500","106.5650","66.6500","TopLayer","180","0.33uF"
"C60","CAPC1005X06L","57.0500","66.4500","57.0500","66.4500","57.4400","66.4500","TopLayer","180","0.10uF"
"C86","CAPC2012X10L","15.5000","66.0000","15.5000","66.0000","14.7500","66.0000","TopLayer","360","22uF"
"C83","CAPC2012X10L","19.0000","66.0000","19.0000","66.0000","18.2500","66.0000","TopLayer","360","10uF"
"C85","CAPC1005X06L","15.5000","64.5000","15.5000","64.5000","15.8900","64.5000","TopLayer","180","0.10uF"
"C63","CAPC1005X06L","19.0000","64.5000","19.0000","64.5000","19.3900","64.5000","TopLayer","180","0.10uF"
"U5","RGX0011A","106.8750","64.1500","106.8750","64.1500","106.8750","64.6500","TopLayer","270","TPS621361RGXR"
"C50","CAPC2012X10L","109.3750","64.1500","109.3750","64.1500","109.3750","64.9000","TopLayer","270","10uF"
"L3","SWPA4030S","103.3750","63.6750","103.3750","63.6750","103.3750","65.1750","TopLayer","270","1.5uH"
"R23","ERJ2G(0402)_L","117.2500","63.5000","117.2500","63.5000","117.2500","63.9000","TopLayer","270","0.0"
"R22","ERJ2G(0402)_L","116.2500","63.5000","116.2500","63.5000","116.2500","63.9000","TopLayer","270","100k"
"R21","ERJ2G(0402)_L","119.7500","63.5000","119.7500","63.5000","119.7500","63.9000","TopLayer","270","0.0"
"R20","ERJ2G(0402)_L","118.7500","63.5000","118.7500","63.5000","118.7500","63.9000","TopLayer","270","100k"
"R19","ERJ2G(0402)_L","121.7500","63.5000","121.7500","63.5000","121.7500","63.9000","TopLayer","270","100k"
"C55","CAPC1005X06L","126.6000","62.2500","126.6000","62.2500","126.9900","62.2500","TopLayer","180","0.33uF"
"C49","CAPC1005X06L","116.1500","62.0000","116.1500","62.0000","116.5400","62.0000","TopLayer","180","0.33uF"
"U10","DQA0010A_V","14.7675","61.7500","14.7675","61.7500","15.1850","60.7500","TopLayer","180","TPD4EUSB30DQAR"
"C51","CAPC2012X10L","108.3750","61.1500","108.3750","61.1500","107.6250","61.1500","TopLayer","360","22uF"
"J1","61400416021","10.6450","61.0000","6.0100","61.0000","12.0000","64.5000","TopLayer","270","61400416021"
"R13","ERJ2G(0402)_L","103.7750","60.6500","103.7750","60.6500","103.3750","60.6500","TopLayer","360","300k"
"R12","ERJ2G(0402)_L","105.4750","60.6500","105.4750","60.6500","105.0750","60.6500","TopLayer","360","470k"
"U2","FP-846AP-MFG","21.0000","60.0000","21.0000","60.0000","23.2000","59.0000","TopLayer","180","FSUSB42MUX"
"U7","RGX0011A","127.4000","59.7500","127.4000","59.7500","127.4000","60.2500","TopLayer","270","TPS621361RGXR"
"C53","CAPC2012X10L","129.8000","59.6500","129.8000","59.6500","129.8000","60.4000","TopLayer","270","10uF"
"C47","CAPC2012X10L","119.5000","59.5000","119.5000","59.5000","119.5000","60.2500","TopLayer","270","10uF"
"U1","RGX0011A","117.0000","59.5000","117.0000","59.5000","117.0000","60.0000","TopLayer","270","TPS621361RGXR"
"C58","CAPC2012X10L","108.4750","59.3500","108.4750","59.3500","107.7250","59.3500","TopLayer","360","22uF"
"L4","SWPA4030S","123.8750","59.2000","123.8750","59.2000","123.8750","60.7000","TopLayer","270","1.5uH"
"L2","SWPA4030S","113.5000","59.0000","113.5000","59.0000","113.5000","60.5000","TopLayer","270","1.5uH"
"P11","HDR2X7","77.5800","58.4650","78.8500","50.8450","78.8500","50.8450","TopLayer","90","Header 7X2"
"C56","CAPC1005X06L","22.5000","57.5000","22.5000","57.5000","22.1100","57.5000","TopLayer","360","0.10uF"
"C54","CAPC2012X10L","128.9000","56.8500","128.9000","56.8500","128.1500","56.8500","TopLayer","360","22uF"
"P8","HDR1X4","106.1900","56.5000","110.0000","56.5000","110.0000","56.5000","TopLayer","180","Header 4"
"C48","CAPC2012X10L","118.5000","56.5000","118.5000","56.5000","117.7500","56.5000","TopLayer","360","22uF"
"R2","ERJ2G(0402)_L","22.5000","56.5000","22.5000","56.5000","22.1000","56.5000","TopLayer","360","2.2k"
"R18","ERJ2G(0402)_L","124.6000","56.0500","124.6000","56.0500","124.2000","56.0500","TopLayer","360","150k"
"R17","ERJ2G(0402)_L","126.4000","56.0500","126.4000","56.0500","126.0000","56.0500","TopLayer","360","560k"
"R8","ERJ2G(0402)_L","114.3000","56.0000","114.3000","56.0000","113.9000","56.0000","TopLayer","360","300k"
"R7","ERJ2G(0402)_L","116.0000","56.0000","116.0000","56.0000","115.6000","56.0000","TopLayer","360","127k"
"P1","HDR1X2","19.0000","55.2300","19.0000","56.5000","19.0000","56.5000","TopLayer","270","USB_DEVICE"
"C59","CAPC2012X10L","128.9000","54.8500","128.9000","54.8500","128.1500","54.8500","TopLayer","360","22uF"
"C57","CAPC2012X10L","118.5000","54.7000","118.5000","54.7000","117.7500","54.7000","TopLayer","360","22uF"
"X1","ABRA-ASCO-50.000MHZ-EK-T3-4_V","97.3424","53.8500","97.3424","53.8500","97.8924","54.2500","TopLayer","180","ASCO-50.000MHZ-EK-T3"
"C9","CAPC1005X06L","99.3424","53.8500","99.3424","53.8500","99.3424","54.2400","TopLayer","270","0.10uF"
"R33","ERJ2G(0402)_L","105.5000","53.5000","105.5000","53.5000","105.5000","53.9000","TopLayer","270","1k"
"R39","ERJ2G(0402)_L","122.0000","51.0000","122.0000","51.0000","121.6000","51.0000","TopLayer","360","1k"
"P3","HDR2X11","71.7700","50.8000","70.5000","63.5000","70.5000","63.5000","TopLayer","270","Header 11X2"
"C74","CAPC1005X06L","95.5000","50.5000","95.5000","50.5000","95.8900","50.5000","BottomLayer","180","4.7uF"
"C41","CAPC1005X06L","105.5000","50.5000","105.5000","50.5000","105.1100","50.5000","BottomLayer","360","0.47uF"
"R37","ERJ2G(0402)_L","122.0000","49.5000","122.0000","49.5000","121.6000","49.5000","TopLayer","360","1k"
"D4","BL-Hxx37A-AV-TRB","124.0000","49.5000","124.0000","49.5000","124.5250","49.5000","TopLayer","180","BL-HUB37A-AV-TRB"
"C70","CAPC1005X06L","92.5000","49.5000","92.5000","49.5000","92.1100","49.5000","BottomLayer","360","0.47uF"
